,area,area_code,position,full_info,id,description,tags,published,size,width,height,orientation,site,gender,alias
695,Finance,29472,,"<p>  is a well-seasoned Finance Executive passionate with teaching and family.</p><p>With dual citizenship (USA, Spain) and with work experience in Europe, Asia and the Americas   is a truly experienced global Finance professional.   is an Ex-Head of Equities, ex-Head of Global Asset Management and ex-Head of US Global Markets. This experience shows a true understanding of global financial products and solutions and a deep understanding of client needs in a vast variety of geographies and roles (Corporates, Wealth Management, Banks, Institutions…).</p><p>Passionate about sharing his experience with others he acts now as a Financial Consultant, as an Advisor for Startups and as a Finance professor.</p><h4>Corporate Experience</h4><p>• Financial Consultant and member of some Boards and Advisory Boards. Professor, Spain, 2020 - 2021</p><p>• Head of Global Markets BBVA USA, USA, 2012 - 2020</p><p>• Chairman of BBVA Securities INC, USA, 2014 - 2020</p><p>• Head of BBVA Global Asset Management Business, Spain-LATAM, 2008 - 2012</p><p>• Head of BBVA Global Equities, Spain-Americas-LATAM, 1997 - 2008</p><p>• Equity Portfolio Manager Santander Investment, Spain, 1994 - 1997</p><h4>Academic Experience</h4><p>• Author of the Book: Financial Markets and its Mathematics, Ariel (2004) y Delta (2012)</p><p>• Coauthor of the Book: Derivatives Instruments for Corporates, Delta (2013)</p><p>• Professor of Financial Markets, Asset Management, Derivatives… in Universidad Politecnica, Options&amp;Futures Institute, IEB, Universidad Carlos III, Spain 1997 - 2012</p><p>• Adjunct Professor of International Finance and Financial Markets in IE, Universidad Politecnica and EAE, Spain 2020 - 2021</p><h4>Academic Background</h4><p>• Master in Economy and Finance, CEMFI (Centro Estudios Monetarios y Financieros, Central Bank of Spain), Madrid, 1991 - 1993</p><p>• Bachelor in Industrial Engineering, Universidad Politecnica de Madrid, Madrid, 1985 - 1991</p>",17081,A professional portrait of a smiling man wearing a blue suit and a striped tie.,"['portrait', 'man', 'smiling', 'suit', 'tie', 'professional']",2022-11-21T09:05:46.660Z,43987,200,200,S,global,0,Numerius Claudius Severus
696,Finance,29472,"Full Professor, IE","<p>I currently work as a Full Professor at IE University in Madrid, Spain. Previously, I have worked at Universidad Carlos III in Madrid, ITAM in Mexico City, BI in Oslo, UPF in Barcelona,  Stern-NYU in New York, and the McCombs School of Business at UT Austin.</p><p>My teaching interests include Corporate Finance, Valuation and Portfolio Management in undergraduate, MBAs and Executive Programs.</p><p>The overarching topic of my research is compensation incentives. I have studied how to design the compensation of mutual fund portfolio managers (with an emphasis in understanding the role of performance benchmarks) and how to explain the contracts that we observe in practice in the light of agency and contract theory. I also have made contributions on mutual fund performance and fees, corporate governance in developing countries, and executive compensation. Currently, I am interested in ESG metrics in executive compensation, and pay-inequality within firms and its relation with firm performance.</p><p>My work has been published in Economic Theory, Finance Research Letters, Journal of Finance, Journal of Finance and Quantitative Analysis,  and Journal of Economic Dynamics and Control, among other academic outlets. My articles have been cited by the New York Times, the Financial Times, and several Spanish newspapers, including El País.</p><h4>ACADEMIC EXPERIENCE</h4><p>• Full Professor, Finance Department at IE University, Madrid, 2024 – Present</p><p>• Associate Professor, Finance Department at IE University, Madrid, 2009 – 2024</p><p>• Visiting Associate Professor, Department of Finance, McCombs School of Business, Ut at Austin, January – June 2019</p><p>• Visiting Associate Professor, Department of Finance, Nova School of Business and Economics, Lisbon, April – May 2018</p><p>• Visiting Associate Professor, Department of Finance, Nova School of Business and Economics, Lisbon, April – June 2017</p><p>• Visiting Associate Professor, Department of Finance, Stern School Of Business At NYU, New York, 2012 – 2013</p><p>• Visiting Associate Professor, Saif, Jiao Tong University, Shanghai, September – October 2011</p><p>• Visiting Assistant Professor, Department of Finance, Stern School of Business at NYU, New York, January – July 2009</p><p>• Chair Of the Finance Department at IE Business School, 2006 – 2009</p><p>• Assistant Professor, Finance Department at IE University, Madrid 2004 – 2009</p><p>• Visiting Assistant Professor, Universitat Pompeu Fabra, Departament D’economia I Empresa, Barcelona, 2002 – 2004</p><p>• Associate Professor, Department of Financial Economics, Norwegian School of Management, Bi, Oslo, August 1999 to August 2004 (On Leave From September 2002 To August 2004), 1999 – 2004</p><p>• Visiting Assistant Professor, Centro de Investigación Económica, Itam, Mexico City, 1996 – 1998</p><h4>ACADEMIC BACKGROUND</h4><p>• PhD in Economics, Universidad Carlos III, Madrid (Spain), 2000</p><p>• BA in Economics, Universidad Complutense, Madrid (Spain), 1992</p><p>• BA in Actuarial Sciences, Universidad Complutense, Madrid (Spain), 1992</p><p><strong>SUSTAINABLE DEVELOPMENT GOALS (SDGs)</strong></p><p><span data-sheets-root=""1"">8- Decent Work and Economic Growth</span></p><p><span data-sheets-root=""1"">10- Reduced Inequalities</span></p><p><span data-sheets-root=""1"">13- Climate Action</span></p>",6519,,[],2022-08-08T07:50:53.304Z,11985,170,170,S,global,0,Numerius Cornelius Ahenobarbus
697,Architecture & Design,40358,Real Estate Investments | CEO at Agartha Capital,"<p>  completed the Real Estate Management Program at Harvard Business School and holds an International MBA from IE Business School. He also holds a degree in Sociology and Economics from the University of Delaware.</p><p> has gained extensive experience in the international financial and real estate sector; he is the CEO of Agartha Capital, a Real Estate investment and asset management company that runs a Pan-European REIT focused on acquiring and managing co-working and co-living properties in key European cities.</p><p>He has spent a large part of his professional career at Santander Real Estate, S.A., S.G.I.I.C., where he was CEO and Chairman.  has also served as Chairman of Santander Private Real Estate Advisory, S.A. and as Director of Institutional and Investor Relations at Santander Global Property, S.L. He was previously an Associate at A.T. Kearney.</p><p> is currently an Associate Professor lecturing on Real Estate Investments in the Master in Real Estate Development at IE School of Architecture and Design. He is also member of the Urban Land Institute (ULI).</p>",13206,Black and white portrait of a smiling man wearing a suit and white shirt.,"['portrait', 'man', 'smiling', 'black and white', 'suit', 'white shirt']",2022-10-04T12:33:04.969Z,6422,170,170,S,global,0,Numerius Cornelius Drusus
698,Economics,17166,,"<p>   (Benicarló 1984) is PhD in Economics and LLB. Currently, he is the dean of the Universidad de las Hespérides, as well as Professor of Economics at IE University, IE Business School and Francisco Marroquín University. He has published several books such as “Una revolución liberal para España”, “Contra la renta básica”, “Contra la Teoría Monetaria Moderna”, “Liberalismo: los diez principios básicos del orden político liberal” or “Anti-Marx: una crítica a la economía política marxista”.</p><h4>ACADEMIC EXPERIENCE</h4><p>• Dean of Universidad de las Hespérides, Spain, 2022 – Present</p><p>• Adjunt professor, IE Business School, Spain, 2018 – Present</p><p>• Associate professor, Universidad Francisco Marroquín, Spain, 2018 – Present</p><p>• Adjunt professor, IE University, Spain, 2016 – Present</p><p>• Adjunt professor, Universidad Rey  Carlos, Spain, 2009 – 2012</p><h4>ACADEMIC BACKGROUND</h4><p>• PhD in Economics, Universidad Rey  Carlos, Spain, 2011</p><p>• Master Degree in Economics, Universidad Rey  Carlos, Spain, 2008</p><p>• Bachelor of Laws, Universidad de Valencia, España, 2008</p><p>• Bachelor Degree in Economics, Universidad de Valencia, España, 2007</p>",20497,Close-up portrait of a smiling man with a neutral background.,"['portrait', 'man', 'smiling', 'close-up', 'neutral background']",2022-12-21T12:37:35.263Z,9301,170,170,S,global,0,Numerius Cornelius Flaccus
699,Strategy,29478,,"<p>  is Vice-Rector of Faculty &amp; Research and Full Professor of Strategic Management at IE University. He received his PhD in Economics from the University of Chicago and a Master’s in Economics from the Pompeu Fabra University. He has been a Visiting Professor at Bocconi University and the Booth Business School of the University of Chicago, director of the Strategy Department at IE University and director of the Observatory on Competition Policy.</p><p>In the field of research, Prof.  focuses on the fields of Corporate Strategy and Competitive Strategy in Platform Markets. His latest academic publications have been published in journals such as Strategic Management Journal, Organization Science or Management Science. He serves on the Executive Committee of the STR Division of the Academy of Management and on the editorial review board of the <em>Strategic Management Journal</em>.</p><h4>ACADEMIC EXPERIENCE</h4><p>• Vice-Rector of Faculty &amp; Research, IE University, Spain, 2025 – Present</p><p>• Professor of Strategic Management, IE University, Assistant, Associate and Full, Spain, 2002 – Present</p><p>• Visiting Professor, Bocconi University, Italy, 2013 – 2014</p><p>• Chair, Strategy Department, IE Business School, Spain, 2008 – 2013</p><p>• Director of the Observatory on Competition Policy of IE Business School, Spain, 2007 – 2009</p><p>• Assistant Director of the Observatory on Competition Policy of IE Business School, Spain, 2004 – 2007</p><p>• Visiting Assistant Professor, Graduate School of Business University of Chicago, USA, Summer 2003</p><p>• Lecturer, University of Chicago, USA, 1999 – 2001</p><p>• Teaching Assistant, Universitat Pompeu Fabra, Spain, 1995 – 1997</p><h4>ACADEMIC BACKGROUND</h4><p>• Colloquium for Participant-Centered Learning (CPCL) in Harvard Business School, 2004</p><p>• PhD in Economics, University of Chicago, USA, 2002</p><p>• Masters in Economics, University of Chicago, USA, 1998</p><p>• Masters in Economics, Universitat Pompeu Fabra, Spain, 1996</p><p>• BSc in Economics, University of Barcelona, Spain, 1995</p><p><strong>SUSTAINABLE DEVELOPMENT GOALS (SDGs)</strong></p><p><span data-sheets-root=""1"">8- Decent Work and Economic Growth</span></p><p><span data-sheets-root=""1"">9- Industry, Innovation and Infraestructure</span></p><p><span data-sheets-root=""1"">12- Responsible Consumption and Production</span></p>",6518,,[],2022-08-08T07:48:32.243Z,8861,170,170,S,global,0,Numerius Cornelius Sulla
700,Architecture & Design,40358,Lead engineer and principal partner of A.C.H. S.L.,"<p>  is an industrial engineer who has worked with the firm, A.C.H. S.L. since 1995, becoming the lead engineer and principal partner of the company in 2005.  His main areas of research are energy simulation in buildings, energy conservation in buildings and community systems programs.</p><p>He has been the lead designer on complex HVAC systems for major buildings, including the new terminal 4S at Madrid’s Barajas Airport and the Central University Hospital of Asturias.  He designed the mechanical installations for the new Spanish Parliament Building and the tennis facility, the “Caja Magica”, in Madrid, among others. Since 2005 he has combined his professional practice with teaching at several universities.</p><p>He received his degree from the Polytechnic University of Madrid. He is a member of the American Society of Heating, Refrigerating &amp; Air Conditioning Engineers; the Board of Governors of ATECYR; and the Spanish association, Asociación Española de Ingenierías e Ingenieros Consultores de Instalaciones, among other professional organizations.</p>",13335,Black and white portrait of a man in a suit with a serious expression.,"['portrait', 'black and white', 'man', 'suit', 'serious expression']",2022-10-04T14:28:14.958Z,7022,200,200,S,global,0,Numerius Domitius Agricola
701,Architecture & Design,40358,Strategic Real Estate Management | Founding Partner en JV20 Investment &amp; Advisory,"<p> started his career at Uría Menéndez Abogados, where he became partner at 31 in the M&amp;A, Capital Markets and Real Estate practice.</p><p>Afterwards, from June 2007 until 2011,  was CEO for the public real estate company Renta Corporación, leading the restructuring process (€800 million in debt) and managing more than € 1,000 million in assets. During 2011 he was also CEO for Mixta Africa, a homebuilder with a presence in six different North African companies.</p><p>Then, at 38, he became a partner at PWC leading the transactions real estate practice, firstly for Spain and afterwards globally.</p><p>In December 2014,  joined the Spanish homebuilder Neinor Homes as CEO, a company owned by Lonestar until its IPO in March 2017.</p><p>Currently,  is Managing Partner at Alantra, leading the Real Estate Asset Management business.</p><p> holds a Law Degree from Abat Oliba University and an EMBA from IESE Business School.</p>",13233,A professional portrait of a smiling man in a suit with a red tie.,"['portrait', 'man', 'smiling', 'suit', 'red tie', 'professional']",2022-10-04T14:21:11.423Z,10003,200,200,S,global,0,Numerius Domitius Crassus
702,Operations & Business Analytics,29477,,"<p>    has a wi breadth of experience focuses on the risk-management consulting for national and international financial institutions, both financial and energy entities. These are the main areas that can be highlighted:</p><p>Highly analytical cision-maker with extensive experience in planning and veloping several risk projects, targeted on regulations and improving processes and systems.</p><p>Expert in Organization and Processes, Strategy and business, Risk and capital management, Regulations, Bid Data, etc.</p><p>Expert in project negotiation with clients, facing difficult situations and solving problems in various geographies, focusing in goals with the best quality.</p><p>Responsible for human resources selection, management, mentoring, training and evaluation. Eventually he collaborates as a rapporteur of risk conferences.</p><p>Outstanding recognition from clients and excellent valuation from superiors and coworkers.</p><p>Analytical, intuitive and persistent person, efficient providing quality and collaborative in work teams.</p><h4><strong>Corporate Experience</strong></h4><p>• Financial Risk Management Partner: advice on risk to financial, insurance and energy entities, national and international ones.      KPMG, Spain. Nov. 2011 - Act.</p><p>• Project manager in Corporate &amp; Investment Banking area collaborating with the informational strategic plan sign. BBVA CIB, Spain, 2010 – Nov. 2011</p><p>• Consultant: credit risk molling, tools integration and implementation. Management Solutions, Spain. Sep. 2007 – Sep. 2010</p><p>• Analyst consultant, Telco sector. Accenture, Spain. Sep. 2006 – Sep. 2007</p><p>• Bachelor Project. Institute of Technological Research, Spain. May. 2005 – Jun. 2006</p><h4><strong>Acamic Experience</strong></h4><p>• Trainer in risk management, compliance and moling issues for internal KPMG team and internal entities staff with which he collaborates</p><h4><strong>Acamic Background</strong></h4><p>• Additional Training: IAS 39 and IFRS9, Pilar 3, CRR, RDA, Stress Test, Risk appetite, Basel III, NPLs, Operational Risk, ALM, Risk control, Structured products, Data Base Molling, Credit Risk, Market Risk, Treasury and Risk, Basel II, SOX, Solvency, Fixed Income, Big Data. Spain, Sep. 2007 – Act.</p><p>• MBA in Business Administration (Beta – Gamma Stunt), IE Business School, Spain, Sep. 2016 – Jul. 2017</p><p>• Bachelor in Superior Industrial Engineer in Electrical specialist. Pontifical University of Comillas (ICAI). Spain, Madrid. Sep. 2001 – Jun. 2006</p><p>• Industrial Communications Diploma. Pontifical University of Comillas (ICAI). Spain, Madrid. Sep. 2005 – Jun. 2006</p>",16310,"Portrait of a man with a beard, wearing a suit and checkered shirt, smiling in an office setting.","['man', 'beard', 'suit', 'smiling', 'office', 'professional']",2022-11-18T07:26:44.434Z,11985,170,170,S,global,0,Numerius Domitius Drusus
703,Architecture & Design,40358,Consultant for Urban Transformation Initiatives,"<p>  has been studying cities for the last 25 years. After graduating in Architecture and Urban Design at the University of Navarra, Spain, and obtaining an MSc in Advanced Architectural Studies (Bartlett School of Architecture, University College London), he started his professional career as a researcher at University College London, analyzing urban form and how people used it.</p><p>He then worked at Ove Arup and Partners International for 15 years. Based at the Planning group in London, he acquired significant international experience on urban and regional planning issues, integrating transport systems and infrastructure in urban areas and developing Spatial Morphology models for a variety of cities.</p><p>In 2005, he was invited to join Bilbao Ría 2000, a publicly owned urban regeneration company, as Development Planning Director, where he was responsible for the planning of new development opportunities, integrating key transport infrastructures within dense urban environments, managing the interests and expectations of a diverse range of public administrations and ensuring physical, social and financial viability of the projects.</p><p>In 2014, he established himself as an independent consultant and is currently advising on strategic urban projects internationally.</p><p>He also collaborates with a number of academic institutions in research and training matters and has been invited to participate and give presentations in numerous conferences and events.</p>",13240,"Portrait of a smiling middle-aged man with grey hair, dressed in a dark blazer.","['portrait', 'man', 'smiling', 'grey hair', 'blazer']",2022-10-04T14:21:21.206Z,9350,200,200,S,global,0,Numerius Domitius Flaccus
704,International Relations,29470,,"<p>Dr.   is currently Deputy Director of the European Parliament office in Spain, where he is responsible for Public and Institutional Relations as well as for the communication on the EU's Digital Policy (Digital Market Regulation, Artificial Intelligence). Before that, he was acting Director of the European Commission's Representation in Madrid.</p><p>Until 2014, Dr.   worked as official in various management positions at the Directorate General of Competition of the European Commission in Brussels. There he dealt with the European response to the banking crisis of 2007/08, in particular the drafting of new guidelines for bank resolution. He also managed a team to regulate State subsidies to regional airports and airlines. </p><p>Dr.   also worked in the private sector as assistant to the CEO of a German bank as well as in management consulting.</p><p>He studied Economics in Cologne and Dublin and holds a PhD in Economics of the University of Cologne.</p><h4>Corporate Experience</h4><p>• Deputy Director and Public and Institutional Relations, European Parliament Office in Spain, Madrid, 2019 - Present</p><p>• Acting Head of Representation and Head of Political Sector, Representation of the European Commission in Spain, Madrid, 2013 - 2019</p><p>• Deputy Head of Unit at the Competition Directorate of the European Commission in Brussels, Belgium, 2012 - 2013</p><p>• Member of the Task Force Financial Crisis at the European Commission in Brussels, Belgium, 2009 - 2011</p><p>• Assistant to the Chief Executive, Westdeutsche Landesbank, Düsseldorf, Germany, 2000 - 2004</p><h4>Academic Experience</h4><p>• Adjunct Professor of International Trade (Bachelor of Economics) as well as Digital Economy (Master in International Relations), IE University, 2018 - Present</p><p>• Assistant Professor of Economics at University of Cologne, Germany, 1997 - 2000</p><h4>Academic Background</h4><p>• Ph.D. in Economics, University of Cologne, Germany, 2000</p><p>• Master’s degree in economics, University of Cologne, Germany, 1997</p><p>• Oxford Artificial Intelligence Program, University of Oxford, UK, 2022</p>",25344,"Portrait of a smiling man with a beard, wearing a light blue shirt and a blue tie.","['man', 'smiling', 'beard', 'blue shirt', 'blue tie', 'portrait']",2023-03-10T09:32:26.948Z,44595,200,200,S,global,0,Numerius Domitius Paullus
705,Human Resources & Organisational Behaviour,29473,,"<p>Professor   has a Ph.D. in psychology and is considered as an expert in the field of Autism Spectrum Disorder (ASD). She has an extensive research experience in the field of Cognitive Neurocience, with a particular emphasis on early socio-affective interaction and facial communication, and is an active member in two international research groups attached to the Universidad Autónoma of Madrid (UAM) that thrive on public funds. She is also an experienced teacher and currently is a lecturer in the following subjects: Fundamentals of Bio-Psychology, Comparative Psychology, Learning Psychology, and Brain and Behaviour. She also acts as a personal tutor (advisor) and class coordinator, and holds basic management responsibilities (e.g. students with special needs). In her free time she enjoys reading, painting, and exploring nature.</p><h4>ACADEMIC EXPERIENCE </h4><p>• Assistant Professor, School of Psychology of IE University (previously SEK-University), 1998 - Present</p><h4>ACADEMIC BACKGROUND </h4><p>• Ph.D. in Psychology, December 2015</p><p>• Bachelor degree in Psychology, June 1990</p><h4>CORPORATE EXPERIENCE</h4><p>• Clinical Psychologist, Counselling Service of “Centro Europeo de Estudios Superiores” linked to the Universidad Complutense of Madrid (currently Universidad Europea of Madrid)</p><p>• Child Psychologist, psychology consultation “ACRON” (private practice and counselling service for kindergartens)</p>",16319,,[],2022-11-18T07:26:58.568Z,5649,170,170,S,global,0,Numerius Domitius Scipio
706,Human Resources & Organisational Behaviour,29473,,"<p>A former entrepreneur and business leader, ’s work now includes leadership coaching and executive education, with the aim of bringing new consciousness to human performance. ’s career spans 20 years of entrepreneurship, leadership, and humanistic psychology training and practice.</p><p> began his career as an opera singer and performed at the Royal Opera House Covent Garden for 8 years. After a decision to give up professional singing, he founded “Zafferano” which became one of London’s highly acclaimed food and event management brands. The Company was acquired in 2018 and  exited the business.</p><p> now coaches top performers, CEOs and executive teams, and runs leadership development training programmes internationally. He is a Forbes Contributor &amp; Member of the Coaches Council, and is a speaker for Vistage International, a peer mentoring and coaching organisation for CEOs.</p><p> sits on the advisory board for a range of technology businesses, and is a trustee for three charities in the fields of education, international and social development.</p><h4>Corporate Experience</h4><p>• Founder and Leadership Coach,  Alexander &amp; Associates, 2018 - Present</p><p>• Executive Chairman, Zafferano Catering Limited, 2014 - 2018</p><p>• Non-Executive Director, Zafferano Concessions Limited, 2011 - 2018</p><p>• Founder &amp; CEO, Zafferano Catering Limited, 2006 - 2014</p><h4>Academic Experience</h4><p>• Adjunct Professor, Talent Development &amp; Human Resources, IE University, Spain, 2020 - Present</p><p>• Co-Founder/Facilitator, UK &amp; Canada Emerging Leaders Programmes, 2020 - Present</p><p>• Vistage International, Visiting Speaker, Business Strategy &amp; Implementation</p><h4>Academic Background</h4><p>• Practitioner’s Diploma, Academy of Executive Coaching, 2019</p><p>• Bioenergetics Trainer, The Open Centre, 2014 - 2018</p><p>• Post-Diploma Vocal Training, Guildhall School of Music &amp; Drama, 1992 - 1996</p><p>• BA English Literature and Language, Kings College London, 1987 - 1990</p>",17091,"A portrait of a bald man with a subtle smile, dressed in a formal dark suit and a light blue shirt.","['portrait', 'man', 'bald', 'smile', 'formal', 'suit', 'business attire']",2022-11-21T09:06:02.614Z,17389,200,200,S,global,0,Numerius Fabius Agricola
707,Information Systems & Technology,29474,,"<p>  is currently Senior Consultant at Microsoft, specialized in DevOps methodologies and Cloud Architecture. Through his 6 years in the role he has worked with dozens of private and public organizations across a wide variety of industries, helping them in their digital transformation by implementing modern DevOps strategies and designing enterprise-scale cloud architectures.</p><p>Prior to joining Microsoft, he had been working as Software Developer at Indra (focusing on anti-air defense projects) and at Sony Germany (focusing on Natural Language Processing projects leveraging machine learning).</p><p>He studied Telecommunications Engineering (B.Sc. + M.Sc.) at Polytechnic University of Madrid in combination with Universität Stuttgart, where he also worked as Radiofrequency Engineer during his Master’s thesis.</p><h4>CORPORATE EXPERIENCE</h4><p>• Senior Consultant – Cloud &amp; DevOps, Microsoft, 2022 – Present</p><p>• Consultant – Cloud &amp; DevOps, Microsoft, 2016 – 2022</p><p>• Software Engineer – C4ISR Defense, Indra, 2015 – 2016</p><p>• Software Engineer Intern – Speech &amp; Sound Group, Sony, 2014 – 2015</p><h4>ACADEMIC EXPERIENCE</h4><p>• Adjunct Professor of Computer Science and AI, IE University, Spain, 2022 – Present</p><p>• Adjunct Professor of TechMBA, IE Business School, Spain, 2022 – Present</p><p>• Radiofrequency Researcher, Universität Stuttgart, 2014 – 2015</p><h4>ACADEMIC BACKGROUND</h4><p>• M.Sc. Cyber Security, IMF Business School, 2015 – 2017</p><p>• M.Sc. in Telecommunications Engineering, Universidad Politécnica de Madrid, 2013 – 2015</p><p>• M.Sc. in Information Technology (Erasmus), Universität Stuttgart, 2013 – 2014</p><p>• Bachelor in Telecommunications Engineering, Universidad Politécnica de Madrid, 2008 – 2013</p>",20629,"A smiling man with glasses and a beard, wearing a gray shirt.","['man', 'smiling', 'glasses', 'beard', 'gray shirt']",2022-12-29T09:22:04.574Z,32702,200,200,S,global,0,Numerius Fabius Cicero
708,Marketing & Communication,29476,,"<h4>Professional Experience</h4><p>Storyteller and Storyrunner, Creative Director, Brand PR and Content Project Manager.</p><p>When there is a will, there is a way.</p><p>This quote defines not only how I understand life, but also how I understand work should be done.</p><p>More than ever, now we have thousands and thousands of different ways to interact and communicate. Thus, we have to be prepared to innovate, to create, to surprise and essentially, to always make the difference that will allow us to engage with our communities in the proper way.</p><p>As an expert in business transmedia content, branded content, storytelling or digital marketing, and after having managed some international communication projects with more than 30 international awards, you can realize that nobody knows what people exactly want.</p><p>This uncertainty, united with the different characteristics of my clients working as a consultant, is the daily challenge that keeps me thinking always out of the box eager to learn, in order to discover, to improve and to direct my skills to the best possible use, no matter how difficult it is, in the way to create engagement.</p><h4>Experience</h4><p>• Senior Consultant at Consumer Engagement - Llorente &amp; Cuenca</p><p>• Associate Professor - IE Business School</p><p>• Consultant Engagement Department - Llorente &amp; Cuenca</p><p>• Junior Consultant at Engagement Department - Llorente &amp; Cuenca</p><p>• Consultant Assistant - Llorente &amp; Cuenca</p><p>• Young Talent Program - Llorente &amp; Cuenca</p><p>• Responsable Comunicación Campaña ""Lazo Múltiple"" Día Nacional Esclerosis Múltiple 2013 - Asociación Española de Esclerosis Múltiple</p><p>• President - Asociación Maecenas</p><p>• Professor - Club de Tenis y Padel Ciempozuelos</p><p>• Responsable Campaña Día Nacional y Día Mundial Esclerosis Múltiple 2012 - Asociación Española de Esclerosis Múltiple</p><h4>Education</h4><p>• Postgraduate in Digital Marketing - ESC - Rennes School of Business</p><p>• Licenciatura en Publicidad y Relaciones Públicas - Universidad Rey Juan Carlos</p><p>• Licenciatura Administración y Dirección de Empresas - Universidad Rey Juan Carlos</p>",16321,A portrait of a smiling man wearing glasses and a white shirt.,"['portrait', 'smiling', 'man', 'glasses', 'white shirt']",2022-11-18T07:27:00.964Z,4795,170,170,S,global,0,Numerius Fabius Drusus
709,Architecture & Design,40358,Urban and Environment Legal Frameworks,"<p>  has a double master's degree, in European Law from the UAM, and in Urbanism, from Carlos III two of the most prestigious universities in Spain. He has worked in urban law, advising clients on relevant urban developments, and more recently he is focused on regeneration and transformation actions in the city. He is currently a partner in urban law at Cuatrecasas in Madrid.</p><h4>Corporate Experience</h4><p>• Cuatrecasas urban planning partner, 2019</p><p>• Cuatrecasas urban planning lawyer, 2007 - 2018</p><h4>Academic Experience</h4><p>• Part-time professor ISDE, 2018</p><p>• CIARE part-time professor, in the last three years</p><h4>Academic Background</h4><p>• Degree in Law</p><p>• Master in European Law, UAM</p><p>• Master in Urbanism and Land Management, Carlos III </p>",34984,A black and white portrait of a smiling man wearing a suit and tie.,"['portrait', 'man', 'smiling', 'suit', 'tie', 'black and white']",2023-11-17T08:11:40.742Z,15863,200,200,S,global,0,Numerius Fabius Flaccus
710,International Relations+Humanities,29470,,"<p>  is a historian, international relations scholar and writer. He has published seven books and has lectured in over thirty countries and diverse international forums. He is a frequent contributor to the daily press and some of his articles are published internationally in diverse countries. He first specialized in modern Spanish history as a member of the Oxford school of historians founded by Sir Raymond Carr. Later, he focused on modern European history, particularly comparative imperial history and the legacy of Europe in the world. He has also worked on the history of liberalism and democracy.</p><p>His most recent book <em>Europa, how Europe shaped the modern world</em> (Pegasus Books, 2018), a pioneering pan-European history beyond the barriers of the nation-states, was critically acclaimed and was recently published in China.  At present he is working on a history of democracy from antiquity to the 21st century.</p><h4>CORPORATE EXPERIENCE</h4><p>• Director of Instituto Cervantes in Istanbul (2000 – 2001), Dublin (2001 – 2005) and London (2012 – 2017) and Cultural Attaché of the Spanish Embassy in Turkey, Ireland and United Kingdom</p><p>• Vice-president of EUNIC, European Union Association of National Cultural Institutes, 2014 – 2016</p><p>• Member of the Spanish delegation organizing the state visit of H.M King Felipe VI to the United Kingdom in 2017</p><p>• Director of the Hispanic Observatory, a think tank based in London, specialized in the Hispanic world, 2017 – 2022</p><p>• Director of Ronda Energy Ltd, an international energy investment company, 2017 – 2022</p><h4>ACADEMIC EXPERIENCE</h4><p>• Adjunct Professor of International Relations History at IE School of Global and Public Affairs, I E University in Madrid</p><p>• Professor at the London School of Economics, 2017 – 2018</p><p>• Prince of Asturias Visiting Professor at Tufts University, Boston, 2009</p><p>• Santander Iberian and European Studies Fellow at St. Antony’s College, Oxford, 2008 – 2010</p><p>• Visiting Professor at University of Antwerp, 2010</p><p>• Lecturer at IE Business School, 2005 – 2011</p><p>• Researcher and lecturer at European Institute, San Pablo CEU University, Madrid, 2005 – 2009</p><p>• Researcher and lecturer at Ortega y Gasset University Institute, Madrid, 1997 – 2000</p><h4>ACADEMIC BACKGROUND</h4><p>• D. Phil. In History, St. Antony’s College, Oxford, 1997</p><p>• M.A. in History, University College, Oxford,1996</p><p>• Visiting student, Sorbonne University, Paris, 1993</p><p>• M.A. in International Relations, Ortega y Gasset University Institute, 1992</p><p>• B.A. in History, University College, Oxford, 1991</p>",20448,A portrait of a bald man wearing a suit and a red tie.,"['portrait', 'man', 'bald', 'suit', 'red tie', 'professional']",2022-12-21T08:08:05.948Z,5230,170,170,S,global,0,Numerius Fabius Severus
711,Economics,17166,,"<p>   is a founding partner of PQAXIS consulting, where he has advised on economic regulation, litigation and competition analysis for more than 15 years.</p><p>He is a PhD in Economics from the State University of New York at Stony Brook and a BA in economics from Universidad de Oviedo.</p><p>He teaches Microeconomics and Market Analysis (IE University) and Economic Regulation and Law &amp; Economics (Universidad Carlos III de Madrid).</p><h4><strong>Corporate Experience</strong></h4><p>• Partner, PQAXIS Consulting in Economics, Madrid, Spain. 2004-Present.</p><p>• Adviser to the Secretary of State of Economics Ministry of Economy and Finance, Madrid, Spain. 2009-2011.</p><p>• Senior consultant, Nera Consulting in Economics, Madrid, Spain. 1998-2004.</p><p>• Economic Affairs Officer, United Nations, New York, USA. 1994-1997.</p><h4><strong>Academic Experience</strong></h4><p>• Adjunct professor of Microeconomics and Market Analysis, IE Business School, Spain, 2012-Present.</p><p>• Adjunct professor of Economic Regulation and Law and Economics, Universidad Carlos III de Madrid, Spain, 2012-Present.</p><h4><strong>Academic Background</strong></h4><p>• Ph.D. in Economics State University of New York at Stony Brook, USA.1994.</p><p>• BA in Economics, University of Oviedo, Spain. 1988.</p>",16322,Close-up portrait of a middle-aged man with a neutral expression.,"['portrait', 'middle-aged man', 'neutral expression', 'close-up']",2022-11-18T07:27:02.483Z,10865,170,170,S,global,0,Numerius Flavius Paullus
